B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.11245,0.0855,0.0717,0.0532,0.0771,0.1775,0.21215,0.2054,0.2255,0.0759,0.11985,0.0543,0.588553750966744,0.2854292315539952,0.2658671115832172,0.4541592920353983,0.1045336309519572,270.0,0.0,0.0,42401.0,4425.763313609468,66.48520710059172,0.1367949301495045,0.369857986461702,66.49112426035504,0.0,1.0,0.1372851090648086,0.0002269877746267,4426.538461538462,0.3705200521764087,1.0,5,7
0.11245,0.084,0.0699,0.05055,0.07745,0.1741,0.2057,0.1964,0.21785,0.0759,0.11815,0.05215,0.5906053857056084,0.2767090125368059,0.2567717934435962,0.4343618769399306,0.0996394500185544,270.0,0.0,0.0,42401.0,4380.473372781065,66.15384615384616,0.1489793774727776,0.3859784676284126,66.16568047337279,0.0,1.0,0.1488393263541192,0.0002290846489223,4382.047337278106,0.3857970014840955,1.0,5,7
0.11245,0.08595,0.072,0.05275,0.07745,0.1741,0.2057,0.1939,0.21785,0.0759,0.11815,0.05215,0.572268396513278,0.2672283226050738,0.2475848534947531,0.4291505435784042,0.1011346874222687,270.0,0.0,0.0,42401.0,4375.692307692308,66.11834319526628,0.1543713455411225,0.3929011905570184,66.13017751479292,0.0,1.0,0.1541612688631351,0.0002293141153137,4377.26627218935,0.3926337591995053,1.0,5,7
0.11245,0.087,0.07355,0.05395,0.0771,0.1775,0.21215,0.20755,0.2255,0.0759,0.11985,0.0543,0.5873804971319312,0.2872037276650486,0.2677466320047105,0.4582821008255753,0.1058174016880021,270.0,0.0,0.0,42401.0,4391.568047337279,66.23076923076924,0.1461083295402822,0.3822411928877919,66.24260355029587,0.0,1.0,0.1458282273029656,0.0002286731945788,4393.14201183432,0.3818746224914214,1.0,5,7
0.115,0.08815,0.0743,0.04615,0.0756,0.225,0.28755,0.2797,0.3,0.0801,0.1291,0.0501,0.7167408316710143,0.4199149921608676,0.4044239815815563,0.5744441317196736,0.113614061629712,270.0,2.862405300140381,7.901007175445557,47675.0,4448.313609467456,66.68047337278107,0.2145233010048667,0.4631666017804681,66.68047337278107,0.0,1.0,0.2145233010048667,0.0002251644852775,4448.313609467456,0.4631666017804681,1.0,6,5
0.11375,0.0865,0.0738,0.0455,0.0768,0.2438,0.3,0.29815,0.3,0.07885,0.1256,0.04825,0.7351956932925943,0.4488044907094895,0.435185232426066,0.590345379383918,0.1164724216284696,270.0,2.862405300140381,7.908387184143066,49077.0,4433.455621301775,66.56804733727812,0.2010783936136689,0.448417655332246,66.56804733727812,0.0,1.0,0.2010783936136689,0.0002259444834141,4433.455621301775,0.448417655332246,1.0,6,5
0.115,0.08745,0.0738,0.04665,0.0756,0.225,0.28755,0.28535,0.3,0.0801,0.1291,0.0501,0.7189759036144578,0.427070585625237,0.4120208925090356,0.5811054162626402,0.1153758098563126,270.0,0.0,0.0,47675.0,4474.094674556213,66.87573964497041,0.2285284128706978,0.4780464547203523,66.87573964497041,0.0,1.0,0.2285284128706978,0.000223804183774,4474.094674556213,0.4780464547203523,1.0,6,5
0.115,0.08825,0.07465,0.04745,0.0756,0.225,0.28755,0.3,0.3,0.0801,0.1291,0.0501,0.7268671751331127,0.4465548702860215,0.4327126465558607,0.597444089456869,0.1193105192344748,270.0,2.862405300140381,7.901007175445557,47675.0,4467.905325443787,66.82840236686391,0.2194250901579076,0.4684283191246102,66.82840236686391,0.0,1.0,0.2194250901579076,0.0002241433138662,4467.905325443787,0.4684283191246102,1.0,6,5
0.11375,0.08785,0.0751,0.04605,0.0768,0.2438,0.3,0.3,0.3,0.07885,0.1256,0.04825,0.7338534893801475,0.4500999631341633,0.4365443630922749,0.5923566878980893,0.1175372281449583,270.0,2.862405300140381,7.908387184143066,49077.0,4451.461538461538,66.70414201183432,0.2045096460207976,0.4522274273203667,66.70414201183432,0.0,1.0,0.2045096460207976,0.0002250020073022,4451.461538461538,0.4522274273203667,1.0,6,5
0.1152,0.08835,0.0759,0.0482,0.07785,0.23935,0.3,0.3,0.3,0.0806,0.13165,0.05095,0.7231476163124639,0.4446626356238697,0.430676293747612,0.5879317189360856,0.1202497401244593,270.0,2.862405300140381,7.901007175445557,47675.0,4476.502958579881,66.89349112426035,0.2228563425650362,0.472076627852975,66.89349112426035,0.0,1.0,0.2228563425650362,0.0002236907707032,4476.502958579881,0.472076627852975,1.0,6,5
